No.	英単語	意味	処理用	例文1	例文1（日本語）
1619.1	dispense	（機械などが現金，飲料など）を出す，（情報など）を与える			
1620	oriented	志向の，関心がある			
1620.1	orientation	適応，方向づけ，オリエンテーション			
1620.2	oriental	東洋の			
1621	splendid	素晴らしい，壮麗な			
1622	competent	有能な			
1622.1	competence	能力，力量			
1622.2	incompetent	無能な			
1622.3	compete	競争する			
1623	supreme	最高の			
1624	straightforward	わかりやすい，簡単な，率直な			
1625	sacred	聖なる，神聖な			
1626	bold	大胆な			
1627	uneasy	不安な			
1628	neat	きちんとした，こぎれいな			
1629	shallow	浅い，浅はかな			
1630	fake	偽物の，偽物，〜を偽造する			
1631	superficial	表面的な，うわべの，浅薄な			
1632	absurd	ばかげた			
1633	fragile	壊れやすい，もろい			
1634	respectable	ちゃんとした，立派な，下品でない			
1635	magnificent	素晴らしい，立派な			
1636	infinite	無限の			
1637	comprehensive	包括的な，総合的な，広範囲の			
1638	steep	険しい，急な			
1639	gross	総計の，（誤りなどが）ひどい			
1640	subsequent	次に起こる，（時間的に）後の，次の			
1641	sincere	心からの，誠実な			
1641.1	sincerity	誠実，誠意			
1642	toxic	有毒な			
1642.1	toxin	毒			
1643	neutral	中立の，公平な			
1644	diligent	勤勉な			
1644.1	diligence	勤勉さ			
1645	sore	痛い			
1646	contaminated	汚染された			
1646.1	contaminate	〜を汚染する			
1646.2	contamination	汚染			
1647	ambiguous	あいまいな，多義的な			
1647.1	ambiguity	あいまいさ，多義			
1648	oral	口述の			
1649	restless	落ち着かない，そわそわした，不安な			
1649.1	rest	休息，残り，休む，〜を休ませる			
1650	rotten	腐った			
1650.1	rot	腐る，〜を腐らせる			
1651	vigorous	精力的な，元気はつらつな			
1651.1	vigor	精力，活力，力強さ			
1652	immense	莫大な，計り知れぬ			
1652.1	immensely	ものすごく			
1653	metropolitan	大都市の			
1653.1	metropolis	大都市，主要な都市			
1654	punctual	時間をきっちり守る			
1655	solitary	孤独な，寂しい			
1655.1	solitude	孤独，寂しさ			
1656	collective	集団の，集合的な			
1657	diplomatic	外交の，外交的な			
1657.1	diplomacy	外交			
1657.2	diplomat	外交官			
1658	nasty	不快な，嫌な(=unpleasant)，意地の悪い			
1659	helpless	無力な			
1660	explicit	明確な，露骨な，はっきりとした			
1660.1	implicit	遠回しの，暗黙の／絶対的な，盲目的な			
1661	bankrupt	破産した			
1661.1	go bankrupt	破産する			
1661.2	bankruptcy	破産			
1662	eternal	永遠の，不変の			
1662.1	eternity	永遠			
1663	sole	唯一の			
1664	solely	単独で，一人で，単に(=only)			
1664.1	sour	すっぱい			
1665	notable	注目すべき			
1666	affluent	裕福な			
1667	affluence	豊かさ			
1667.1	naked	裸の			
1668	vocal	発声の，声の			
1669	feminine	女性の，女性的な			
1669.1	feminist	男女同権主義者			
1670	vacant	空いている，使用されていない			
1670.1	vacancy	空虚，空いたところ，空室			
1671	exotic	外来の，異国風の			
1672	rigid	厳格な，頑固な			
1673	humid	蒸し暑い，多湿の			
1673.1	humidity	湿度			
1674	outstanding	傑出した，目立った			
1675	addicted	中毒である，〜に熱中した			
1675.1	addiction	中毒			
1675.2	addict	中毒者，マニア			
1675.3	addictive	中毒性の			
1676	vulnerable	受けやすい，傷つきやすい			
1677	spontaneous	自然に起こる，自発的な			
1678	greedy	どん欲な			
1678.1	greed	どん欲			
1679	trivial	ささいな，とるに足らない			
1680	per capita	一人当たりの			
1680.1	per	〜につき，ごとに			
1681	inherent	元から伴う，本来備わった，固有の			
1681.1	inherit	〜を受け継ぐ			
1681.2	inherently	本来，生まれつき			
1682	promising	前途有望な			
1683	physiological	生理的な			
1683.1	physiology	生理学			
1684	clinical	臨床の			
1684.1	clinic	医院，診療所			
1685	chronic	慢性の			
1686	geological	地質学的な			
1686.1	geology	地質学			
1687	countless	無数の			
1688	innate	先天的な			
1689	alert	用心している，頭がさえている			
1690	autonomous	自立した，自律の，自動運転の			
1690.1	autonomy	自主性，自律			
1691	simultaneously	同時に			
1692	utterly	まったく，完全に			
1692.1	utter	まったくの，完全な			
1693	drastically	劇的に，徹底的に			
1693.1	drastic	劇的な，徹底的な			
1694	necessarily	必ず，（not necessarilyで）必ずしも〜でない			
1694.1	necessary	必要な，必然の			
1694.2	necessity	必要（性）			
1695	thereby	そうすることで			
1696	frankly	率直に			
1696.1	frank	率直な			
1697	namely	すなわち			
1698	hence	だから			
1699	via	経由で			
1700	owing to	〜のために			
1701	clarify	〜を明らかにする			
1702	smash	〜を粉々に砕く，衝突する，〜を衝突させる			
1703	mourn	〜を悲しむ，（人）の喪に服する			
1704	summon	〜を呼ぶ，（人）を呼び出す			
1705	shatter	〜を粉々にする，粉々になる			
1706	linger	残る，（感情などが）なかなか消えない			
1707	lament	〜を嘆く，悲しみ，嘆きの言葉			
1708	endow	寄付する，授ける，〜に恵まれる（\textit{be} endowed with）			
1708.1	endowment	寄付金，才能			
1709	rejoice	喜ぶ			
1710	allocate	〜を配分する，〜を割り当てる			
1710.1	allocation	配分，割り当て（量）			
1711	slap	〜をぴしゃりと打つ，平手打ち			
1712	contend	〜と主張する(=argue)，戦う(+with)			
1713	swear	〜と誓う，〜と断言する			
1714	discern	〜を識別する			
1715	degrade	〜を悪化させる			
1715.1	degradation	悪化，卑しめ			
1716	erect	〜を築く，直立した			
1717	testify	証言する			
1717.1	testimony	証言，証拠			
1718	spur	〜を駆り立てる，〜に拍車をかける，刺激，拍車			
1719	roam	〜を歩き回る，ぶらつく，放浪する			
1720	frown	まゆをひそめる，しかめっ面			
1721	lure	〜を呼び込む，〜を魅惑する，魅力，魅惑			
1722	defy	〜に逆らう，（規則など）に従わない，〜を拒む			
1722.1	defiance	反抗，抵抗			
1723	stroll	ぶらつく(=wander)，散歩			
1724	rattle	〜をがたがた鳴らす			
1725	reconcile	〜を調和させる，〜を和解させる			
1726	blur	〜をぼやかす，ぼやける，ぼやけたもの			
1726.1	blurred	ぼやけた			
1727	soothe	〜をなだめる，（苦痛）を和らげる			
1728	impair	〜を低下させる，〜害する(=damage)			
1729	comply	従う，〜に従う(+with)			
1729.1	compliance	法令遵守，（命令などに）従うこと			
1730	pierce	〜に穴をあける，〜を刺す			
1731	stumble	つまずく			
1732	hinder	〜をさまたげる			
1733	mock	〜をあざける(=make fun of)，まねごとの，模擬の			
1734	embody	〜を具現する，〜を表現する			
1735	stalk	〜に忍び寄る，茎			
1736	proclaim	〜と宣言する(=declare)，〜をはっきり示す			
1737	applaud	拍手する，〜をほめたたえる			
1737.1	applause	拍手			
1738	inflict	〜を与える			
1739	merge	合併する，〜と合併する(+with)			
1739.1	merger	合併，合同			
1740	evacuated	避難した，〜を避難させる			
1740.1	evacuation	避難			
1741	undo	（一度したことを）元に戻す，～を無効にする			
1742	poke	～を突く，（～を）つつく			
1743	haunt	～につきまとう			
1743.1	haunted	（場所が）幽霊の出る			
1744	adhere	固く守る			
1745	compile	～をまとめる，〜を編集する			
1746	wither	しぼむ，色あせる，〜をしおれさせる			
1747	stun	～をびっくりさせる，～を気絶させる			
1747.1	stunning	美しい，すばらしい，驚くべき			
1747.2	stunned	びっくりした，動転した			
1748	choke	のどがつまる，～の首をしめる			
1749	deteriorate	悪化する，～を悪化させる(=worsen)			
1749.1	deterioration	悪化			
1750	dump	～を捨てる，ゴミ捨て場			
1751	murmur	つぶやく，つぶやき，ざわめき			
1752	delete	～を削除する			
1753	inhibit	～を阻害する			
1754	divert	～をそらす			
1755	tame	～を飼いならす，飼いならされた			
1756	reap	～を手に入れる，～を収穫する			
1757	affirm	～と断言する，～と主張する(=assert)			
1758	immerse	浸る，〜に浸る(+in)			
1758.1	immersion	没頭，浸ること			
1759	expire	期限が切れる			
1760	embark	乗り出す，〜に乗り出す(+on)，（事業などを）始める			
1761	vow	～を誓う，誓い，誓約			
1762	foresee	～を予知する，予見する			
1763	adore	～を崇拝する，〜が大好き(=love)			
1764	yearn	切望する			
1764.1	yearning	切望，熱望，あこがれ			
1765	undermine	～を弱める			
1766	suck	～を吸う		This is a technology that water \enword{suck} in air to rapidly filtrate.	これは水が空気を\jpword{吸う}ことで早くろ過をする技術である。
1766.1	sniff	（臭い）をかぐ，（空気）を吸う			
1767	pledge	～を誓う，誓約，誓い			
1768	intrude	立ち入る，じゃまする，侵入する			
1768.1	intruder	侵入者			
1768.2	intrusion	侵入			
1769	sue	～を訴える			
1770	distort	～を歪曲（わいきょく）する			
1170.1	distortion	ゆがみ，歪曲			
1771	extinguish	～を消す			
1772	preach	説教する，～を説く			
1772.1	priest	神父，牧師，聖職者			
1773	curb	～を抑制する，歩道の縁石			
1774	withstand	～に耐える，～に抵抗する			
1775	dip	～をひたす			
1776	recite	～を暗唱する，～を声に出して言う			
1777	thrust	～を押し込む，押し，突き			
1778	plead	嘆願する			
1778.1	plea	嘆願，弁解，申し立て			
1779	humiliate	～に恥をかかせる，～に屈辱を与える			
1779.1	humiliating	屈辱的な			
1779.2	humiliated	屈辱を受けた			
1780	discharge	～を放出する，～を解任する			
1781	condemn	～を非難する			
1782	retrieve	～を検索する，～を取り戻す			
1782.1	retrieval	検索，取り戻すこと			
1783	shrug	～をすくめる			
1784	evoke	～を呼び起こす，（記憶，感情）を喚起する			
1785	fetch	～を取ってくる			
1786	flatter	～におせじを言う，～をほめて喜ばせる			
1786.1	flattery	おせじ，ほめ言葉			
1787	prose	散文			
1787.1	verse	韻文，詩			
1787.2	rhyme	詩，韻（文）			
1788	textile	織物			
1789	timber	材木(=lumber)，木材，樹木			
1790	masterpiece	傑作			
1791	riot	暴動，騒動，暴動を起こす			
1792	carriage	車両，馬車，乳母車			
1793	apparatus	装置(=equipment)，器具，器官			
1794	fuss	大騒ぎ			
1795	deficiency	欠乏，欠点，欠陥			
1795.1	deficient	欠けている，不足している			
1796	heir	相続人			
1797	equator	赤道			
1798	petroleum	石油			
1798.1	petrol	ガソリン			
1799	witch	魔女			
1799.1	witchcraft	魔法			
1799.2	wizard	（男の）魔法使い			
1800	vapor	蒸気，水蒸気(=water vapor)			
1800.1	evaporate	蒸発する，消える			
1801	probe	探査機，調査，～を調査する			
1802	expertise	専門知識			
1803	scorn	軽蔑，～を軽蔑する(=despise)			
1803.1	scornful	軽蔑した，あなどった			
1804	prophet	預言者，予言者			
1804.1	prophecy	予言			
1805	breeze	そよ風			
1806	sin	罪			
1807	surge	急増，（感情などの）高まり，殺到する			
1808	complement	補うもの，補語，～を補う			
1808.1	complementary	補完的な，代替的な			
1809	queue	列，列を作って待つ(=wait in line)			
1810	stake	賭け金，出資，（利害）関係，（金）を賭ける			
1811	ambassador	大使			
1811.1	embassy	大使館			
1812	jury	陪審員			
1813	cluster	集団，群れ，一団			
1814	lump	こぶ，しこり，固まり			
1815	meadow	牧草地			
1815.1	pasture	牧草地，放牧場			
1816	feat	偉業，はなれわざ			
1817	temperament	気質			
1818	chill	寒気，～を冷やす			
1818.1	chilly	肌寒い			
1819	appliance	（電気・ガス）器具			
1820	predecessor	前任，以前にあったもの（人）			
1821	entity	存在			
1822	hospitality	もてなし，歓待，接客（の）			
1822.1	hospitable	心あたたかい，（環境が）生存に適した			
1823	narrative	話，物語(=story)			
1823.1	narration	語り			
1824	segment	部分，区分，区切り			
1825	catastrophe	大災害，破局，大惨事(=disaster)		I dreamed of a \enword{catastrophe}. I am afraid that whether it will happen in reality.	\jpword{大災害}の夢を見た。現実に起こらないか心配だ。
1825.1	catastrophic	壊滅的な			
1826	monarch	君主			
1826.1	monarchy	君主政治			
1827	constraint	制約，束縛			
1827.1	constrain	～を束縛する，～に強いる			
1828	amendment	改正，修正案，修正条項			
1828.1	amend	～を改正する，修正する			
1829	cosmos	宇宙			
1829.1	cosmic	宇宙の			
1830	aisle	通路			
1831	hierarchy	階級制度，ピラミッド型序列，ヒエラルキー			
1832	toll	通行料，使用料			
1833	transaction	取引			
1834	burglar	強盗			
1835	tyranny	圧政			
1835.1	tyrant	暴君，独裁者			
1836	parasite	寄生生物			
1837	intuition	直感，勘			
1837.1	intuitive	直感的な			
1838	communist	共産主義の，共産主義者			
1838.1	communism	共産主義			
1839	legacy	遺産			
1840	vein	静脈（青筋）			
1840.1	artery	動脈			
1840.2	pulse	脈拍			
1841	discourse	論説，談話，演説(=speech, discussion)			
1842	dairy	乳製品，酪農			
1843	artifact	工芸品，人工のもの，遺物			
1844	outlet	はけ口，（販売）店			
1845	appreciation	不安，理解，逮捕			
1845.1	apprehend	～を理解する，～を逮捕する			
1846	melancholy	憂うつ，憂うつな			
1847	novelty	目新しさ			
1847.1	novel	小説，新奇な			
1848	specimen	標本			
1849	hygiene	衛生，衛生学			
1850	tactics	戦術，戦略			
1851	monopoly	独占，専売（権）			
1851.1	monopolize	～を独占する			
1852	token	印			
1853	aristocracy	貴族階級，貴族政治			
1853.1	aristocrat	貴族（の1人）			
1853.2	aristocratic	貴族の			
1854	revenge	復讐			
1855	activist	活動家			
1856	rhetoric	美辞麗句			
1857	entrepreneur	起業家			
1858	census	国勢調査			
1859	verge	瀬戸際			
1860	advent	出現			
1861	analogy	類似点，類推，（似たものによる）たとえ			
1862	irrigation	かんがい			
1863	coverage	報道，放送			
1864	cuisine	料理			
1865	menace	脅威			
1866	peril	危険			
1867	limb	手足			
1868	assault	攻撃，暴行			
1869	hatred	憎しみ			
1869.1	hate	～を憎む，嫌う，憎しみ			
1870	autonomy	自主性，自律			
1870.1	autonomous	自立した，自律の，自動運転の			
1871	cram	塾，詰め込み勉強			
1871.1	cram	（～を）詰め込む，丸暗記する			
1872	subsidy	補助金			
1872.1	subsidize	～に補助金を出す			
1872.2	subsidiary	補助的な，子会社			
1873	empathy	共感，感情移入(+for, with)			
1874	slang	俗語			
1875	posture	姿勢			
1876	ideology	イデオロギー，（政治・経済的な）思想			
1876.1	ideological	イデオロギー的な			
1877	curse	災いのもと，呪い，ののしり，～を呪う			
1877.1	blessing	ありがたいもの，恵み，祝福			
1878	tumor	腫瘍，はれた部分			
1879	intersection	交差点			
1879.1	junction	合流点			
1880	duration	期間，継続期間			
1881	deforestation	森林破壊			
1882	precaution	用心，警戒			
1883	bunch	ひとたば			
1884	shortcoming	欠点			
1885	aspiration	熱望			
1885.1	aspire	熱望する			
1886	psychiatrist	精神科医			
1886.1	psychiatric	精神医学の			
1887	shipping	発送，輸送費			
1887.1	ship	～を送る，輸送する			
1887.2	shipment	発送，積み荷			
1888	Senator	上院議員			
1889	statesman	政治家			
1890	subordinate	部下，副次的な，下級の			
1891	vacuum	空白，真空			
1892	quest	探究			
1893	meditation	瞑想，熟慮，内省			
1894	subscriber	加入者，定期購読者			
1894.1	subscribe	～を定期購読する，～に同意する			
1895	riddle	謎			
1896	rag	ぼろ，ぼろ切れ			
1896.1	rug	敷き物，じゅうたん			
1897	rust	さび			
1898	sanitation	衛生，下水整備			
1898.1	sanitary	衛生の，衛生的な			
1899	midst	まっただ中			
1900	mischief	いたずら			
1900.1	mischievous	いたずら好きの			
1901	proficiency	検定，熟達，技量			
1901.1	proficient	熟達した，技量のある			
1902	recollection	記憶			
1902.1	recollect	～を思い出す			
1903	latitude	緯度			
1903.1	equator	赤道			
1904	friction	摩擦，不和			
1905	botanist	植物学者			
1905.1	botany	植物学			
1906	heredity	遺伝			
1906.1	hereditary	遺伝的な			
1907	contempt	軽蔑，侮辱			
1908	anatomy	構造，解剖学，分析			
1909	integrity	誠実，完全さ，統一性			
1910	cargo	貨物			
1910.1	freight	貨物			
1911	bribe	わいろ			
1912	eruption	噴火，突発			
1912.1	erupt	噴火する			
1913	funeral	葬式			
1914	deficit	赤字，不足，欠陥			
1915	bulk	大部分			
1916	millionaire	百万長者			
1916.1	million	100万			
1917	ash	灰			
1918	realm	領域，分野			
1919	plantation	農園，大農園，プランテーション			
1919.1	orchard	果樹園			
1920	plow	すき，（～を）すきで耕す			
1921	vending	販売			
1922	orphan	孤児，親のない，孤児の			
1922.1	orphanage	孤児院，孤児の身			
1923	neuron	ニューロン，神経細胞			
1923.1	neuroscience	神経科学			
1923.2	neurology	神経学			
1924	vegetation	植生，植物			
1925	warrior	戦士			
1925.1	soldier	兵士，軍人			
1926	mutation	突然変異			
1926.1	mutate	突然変異する，～を突然変異させる			
1927	sewage	下水			
1928	paradigm	理論的枠組			
1929	protocol	議定書，（実験・臨床の）計画			
1930	skyscraper	超高層ビル			
1930.1	scrape	（～を）こする，すりむく			
1931	accord	一致，合意，（人に賞賛，権利など）を与える			
1932	bureaucrat	官僚			
1932.1	bureaucracy	官僚制度，（集合的に）官僚			
1932.2	bureau	（官庁の）局，部，案内所，事務所			
1933	array	多彩，列，並び			
1934	clash	衝突，対立			
1935	torture	拷問，苦痛，～を拷問にかける			
1935.1	torment	苦痛，～を苦しめる			
1936	reign	統治，統治 （支配） する			
1937	thesis	論文，主題			
1938	digit	桁，数字，指			
1938.1	digital	デジタルの，数字式の			
1939	agenda	課題，（会議の）議題			
1940	onset	発症，（よくない事の）初期，始まり			
1940.1	outset	最初，始め			
1941	peasant	小作農			
1942	ultraviolet	紫外の			
1943	renowned	有名な			
1944	transparent	透き通った			
1945	dim	薄暗い，（記憶などが）ぼんやりした			
1946	legitimate	正当な，合法の			
1946.1	legislation	立法，法律制定			
1947	adverse	悪い，有害な，不都合な			
1947.1	adversity	逆境，不運			
1948	swift	すばやい			
1949	naive	世間知らずの，単純な，ばかな			
1950	dumb	ばかな(=stupid)，口がきけない			
1951	gloomy	暗い(=dark)，憂鬱な，悲観的な			
1951.1	gloom	憂鬱，暗がり			
1952	furious	激怒する			
1952.1	fury	激怒，激しさ			
1953	earnest	まじめな(=serious)，熱心な			
1954	terrific	すばらしい			
1955	vertical	垂直な，直立した			
1956	wicked	邪悪な，悪意のある			
1957	subjective	主観的な			
1958	enlightened	進んだ考えの，賢明な(⇔ignorant)，見識のある			
1958.1	enlighten	（人）を啓発する			
1958.2	enlightenment	啓発			
1959	authentic	本物の			
1960	brutal	残虐な			
1961	dizzy	めまい			
1962	sheer	まったくの			
1963	naughty	いたずらな			
1964	damp	湿った			
1965	static	静かな，静的な，静止した			
1966	doomed	運命にある，破滅する運命の			
1967	respiratory	呼吸器の，呼吸の			
1967.1	respiration	呼吸（作用）			
1968	innumerable	無数の			
1969	clumsy	不器用な，ぎこちない			
1970	aesthetic	美的な			
1970.1	aesthetics	美学			
1971	obsessed	とりつかれている			
1971.1	obsession	（妄想などに）とりつかれること，強迫観念			
1972	detached	切り離された，無関心な，冷静な			
1973	wrecked	難波した			
1973.1	wreck	～を難波させる，～をだめにする，難波（船）			
1974	reckless	無謀な，向こう見ずな			
1975	arrogant	ごう慢な，いばった			
1975.1	arrogance	ごう慢さ，尊大			
1976	preoccupied	頭がいっぱいだ，夢中だ			
1976.1	preoccupation	夢中，没頭			
1977	gigantic	巨大な，ものすごい			
1978	conspicuous	顕著な，目立つ			
1979	slender	すらりとした，細長い			
1980	manifest	明らかな(=obvious)，～を明らかにする			
1980.1	manifestation	明らかになること，現れ			
1981	tidy	きちんと，整然とした			
1982	skeptical	懐疑的な，疑い深い			
1982.1	skepticism	懐疑的な考え方			
1983	notorious	悪名高い			
1984	anonymous	匿名の，作者不明の			
1985	monotonous	単調な			
1986	ample	豊富に，十二分な			
1987	trim	こぎれいな，～を刈り込む，手入れをする			
1988	savage	野蛮な，残忍な，野蛮人			
1989	coherent	一貫した，統一の取れた			
1989.1	coherence	一貫性，統一，団結，結合			
1990	eloquent	雄弁な			
1991	foul	不快な，汚い			
1992	juvenile	青少年の，青少年			
1993	compulsory	義務，強制的な			
1994	prone	～しやすい，Vする傾向にある(\textit{be} prone to V)			
1995	arbitrary	勝手な，任意の，恣意的な			
1996	ingenious	独創的な(=imaginative)，巧妙な(=clever)			
1996.1	ingenuity	独創性			
1997	divine	神聖な，神による			
1998	tender	やさしい			
1999	outraged	憤慨している			
1999.1	outrage	～を憤慨させる，～を怒らせる，激怒			
1999.2	outrageous	ひどい，許しがたい			
2000	intrinsic	本来の			
2001	paralyzed	麻痺している			
2001.1	paralyze	〜を麻痺させる，〜を無力にする			
2001.2	paralysis	麻痺			
2002	compatible	適合する，〜に適合する(+with)，相性がいい			
2003	patriotic	愛国的な			
2003.1	patriotism	愛国心			
2004	eminent	名高い(=famous)，優秀な			
2005	potent	強力な			
2005.1	impotent	無力な			
2006	insane	正気を失っている			
2006.1	sanity	正気，健全			
2007	staple	主な，主要な，重要な，主要産物，必需食品			
2007.1	stapler	ホッチキス			
2008	secondhand	間接の，中古の			
2008.1	firsthand	実地の，現場の，直接（に）			
2009	indigenous	先住の(=native)，固有の			
2010	utmost	最も，最大の，最高の，最大（限），最高			
2011	integral	不可欠な，Aにとって不可欠な(integral part of A)			
2012	intricate	複雑な			
2013	demographic	人口統計の			
2014	mighty	強力な			
2014.1	might	力			
2015	intact	無傷の			
2016	intent	決意している，Aを決意している(\textit{be} intent on A)，意図(=intention)			
2017	intriguing	興味深い			
2017.1	intrigue	（人）の好奇心をそそる			
2018	merry	陽気な			
2019	perpetual	永続する			
2019.1	perpetuate	〜を永続させる			
2020	spinal	脊椎の			
2020.1	spine	背骨，脊椎			
2021	susceptible	感染しやすい，影響を受けやすい			
2021.1	susceptibility	感じやすいこと，感受性			
2022	mandatory	義務的な，強制的な，必須の			
2022.1	mandate	権限，新任，〜を命じる			
2023	upright	まっすぐに，直立して			
2024	abruptly	不意に			
2024.1	abrupt	突然の，不意の			
2025	conversely	逆に			
2026	predominantly	主に			
2027	lest	〜しないように			
					
4001	assume	[V]想定する，〜を本当だと思う，〜とみなす／〜を引き受ける			
4001.1	assumption	[V]（証拠なしに）決めてかかること，想定			
4002	address	[V]演説する／話しかける／立ち向かう			
4003	supersede	[V]〜に取って代わる			
4004	harness	[V]（自然の力）を（動力源に）利用する			
4005	subside	[V]おさまる，静まる			
					
5001	favoritisum	[N]えこひいき			
5002	resilience	[N]弾力性，回復力			
					
6001	salient	[Adj]顕著な			
6002	exploratory	[Adj]探検の，調査の，予備の			
6003	cursory	[Adj]大雑把な，ぞんざいな			
6004	reminiscent	[Adj]〜を思い出させる			
					
10001	a piece of	1つの〜			
10002	a couple of	2つの〜／2，3の〜			
10003	a number of	いくつもの〜；かなり多くの〜			
10004	dozens of~	数十もの〜；何ダースもの〜			
10005					
10006					
10007					
10008					
10009					
10010					
10011					
10012					
10013	up to date	最新（式）の			
10014					
10015					
10016					
10017					
10018					
10019	\textit{be} composed of ~	〜から構成されている			
10020					
10021					
10022	\textit{be} absent from ~	〜を欠席する			
10023	\textit{be} engaged in ~	〜に従事している；忙しく〜をしている			
10024					
10025	\textit{be} married (to ~)	（〜と）結婚している			
10026	\textit{be} satisfied with~	〜に満足している			
10027	\textit{be} curious about ~	〜を知りたがる，〜に好奇心の強い			
10028					
10029	\textit{be} likely to \textit{do}	…しそうである			
10030	\textit{be} willing to \textit{do}	…しても構わない			
10031					
10032	lead to ~	〜（という結果）を引き起こす；〜へ通じる			
10033	refer to ~	〜に言及する／〜を参照する；〜に問い合わせる			
10034	contribute to ~	〜の一因となる，〜に貢献する；〜に寄付［寄稿］する			
10035					
10036	depend on ~	〜に頼る；〜しだいである			
10037	rely on ~	〜に頼る			
10038					
10039					
10040					
10041					
10042	look for ~	〜を探す［捜す］			
10043					
10044	prepare for ~	〜の準備をする；〜に備える			
10045					
10046	consist of ~	〜から成り立っている			
10047	complain about[of] ~	（苦痛など）を訴える；〜について不平を言う			
10048					
10049	suffer from ~	（病気など）で苦しむ［悩む］			
10050					
10051	graduate from ~	〜を卒業する			
10052					
10053					
10054	hear from~	〜から便り［電話・伝言］がある			
10055					
10056	succeed in~	〜に成功する			
10057					
10058	abound in[with] ~	（場所が）〜に富む			
10059					
10060					
10061	deal with ~	〜を扱う；〜を処理する			
10062					
10063					
10064	grow up	大人になる，（事情などが）生じる			
10065					
10066					
10067					
10068					
10069					
10070					
10071	point out ~	〜を指摘する			
10072					
10073					
10074					
10075	pick out ~	〜を選ぶ			
10076					
10077					
10078	try on ~	〜を試着する			
10079	turn on (~) （スイッチなど）をつける；（水・ガスなど）を出す；（明かりなどが）つく				
10080					
10081	take off (~)	〜を脱ぐ；〜を取り除く／離陸する；（流行・売り上げなどが）急増［急伸］する／〔take ~ off で〕〜を休暇としてとる			
10082					
10083	get together (~)	集まる；〜を集める			
10084					
10085					
10086					
10087					
10088					
10089					
10090					
10091					
10092					
10093					
10094					
10095					
10096					
10097					
10098					
10099					
10100					
10101					
10102					
10103					
10104					
10105					
10106					
10107					
10108					
10109					
10110	turn \textit{A} into \textot{B}	AをBに（質的に）変える			
10111					
10112	remind \textit{A} of[about] \textit{B}	AにBを思い出させる			
10113	regard \textit{A} as \textit{B}	AをBとみなす			
10114	associate \textit{A} with \textit{B}	AをBと関連付けて考える			
10115					
10116					
10117	all the time	いつも，常に			
10118					
10119	~ and so on[forth]	〜など			
10120	and yet	それにもかかわらず			
10121	as ~ as possible[\textit{one} can]	できる限り			
10122					
10123	as a whole	全体として（の）			
10124					
10125					
10126					
10127					
10128					
10129	at once	すぐに／同時に			
10130					
10131	at any rate	とにかく，いずれにしても			
10132	at random	無作為に			
10133					
10134					
10135	between you and me	ここだけの話だが，内緒だが			
10136	by hand	手で			
10137					
10138					
10139					
10140					
10141	for a while	しばらくの間			
10142	for example[instance]	例えば			
10143					
10144	in a hurry	急いで，あせって			
10145	in addition (to~)	（〜に）加えて，さらに			
10146					
10147					
10148					
10149					
10150					
10151	in public	人前で，公然と			
10152					
10153	in the end	結局は，ついには			
10154					
10155					
10156	no doubt	おそらく，多分			
10157					
10158					
10159					
10160					
10161	so far	〜今までのところ			
10162					
10163					
10164					
10165	owing[due] to~	〜のために			
10166					
10167	in spite of ~	〜にもかかわらず			
10168	all over (~)	（〜の）至る所に，一面に			
10169	apart from ~	〜のほかに／〜を除いては			
10170					
10171	ahead of ~	（時間的に）〜より先に；（位置的に）〜の前に；〜より進歩して			
10172					
10173					
10174	each other	お互い			
10175					
10176					
10177					
10178					
10179	as soon as \ldots	…するやいなや			
10180					
10181	bring up ~	〜を育てる，（問題・話題などを）持ち出す			
10182	call off ~	〜を中止する［取り消す］			
10183					
10184					
10185					
10186	come up with~	（解決策など）を思いつく			
10187					
10188	find fault with~	〜にケチをつける，〜を非難する			
10189					
10190					
10191	learn ~ by heart	〜を暗記する			
10192					
10193	look over~	〜を（ざっと）調べる			
10194					
10195					
10196					
10197					
10198	put up with ~	〜を我慢する			
10199	set about~	〜を始める			
10200					
10201					
10202	of importance	重要な			
10203					
10204					
10205					
10206					
10207					
10208					
10209					
10210					
10211					
10212					
10213					
10214	by degrees	徐々に			
10215	for good	永久に			
10216	for the most part	大体は，大部分は			
10217	from time to time	ときどき			
10218					
10219					
10220					
10221					
10222					
10223					
10224					
10225					
10226					
10227					
10228					
10229	remember \textit{doing}	…したのを覚えている			
10230					
10231	catch up with[to] ~	（遅れた状態から）〜に追いつく			
10232					
10233					
10234					
10235	let alone ~	〜は言うまでもなく			
10236					
10237	correspond with ~	〜とやりとりを交わす，〜と文通する			
10238					
10239	occur to ~	ふと（人）の心に浮かぶ			
10240					
10241					
10242	make the most of ~	〜を最大限に利用する			
10243					
10244	lay out ~	〜を並べる／〜を設計する			
10245					
10246	\textit{be} concerned with[in] ~	〜に関係している			
10247					
10248	\textit{be} free to \textit{do} ~	自由に…できる			
10249					
10250					
10251					
10252					
10253					
10254					
10255					
10256					
10257					
10258					
10259	~ to come	将来の，来るべき			
10260					
10261					
10262					
10263					
10264					
10265					
10266					
10267	by now	今はもう，今ごろは			
10268					
10269	on the contrary	それどころか，それに反して			
10270					
10271					
10272					
10273					
10274	by any chance	もしかして			
10275					
10276					
10277					
10278					
10279					
10280	upside down	逆さまに			
10281					
10282	provide \textit{A} with \textit{B}	AにBを供給する			
